tracklet_id,local_track_id,source_gid,assigned_final_gid,start_frame,end_frame,entry_side,exit_side,quality,best_score,best_prev_tracklet_id,best_prev_source_gid,same_source_best_score,same_source_best_prev_tracklet_id,same_source_bias_applied,same_source_cross_block_fired,spatial_disambig_applied,spatial_disambig_jump_top_px,spatial_disambig_jump_sec_px,decision_reason
85,36,36,131,2813,2815,center,center,0.9648501143184768,0.9411232784224217,84,36,0.9411232784224217,84,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_84_via_same_candidate_safe_accept|local_consistency_pass
86,36,36,131,2822,2862,center,center,0.9890492179142771,0.8624165393005124,81,36,0.8624165393005124,81,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
111,48,48,134,2841,2851,center,center,0.8791401345305561,0.864498927713634,110,48,0.864498927713634,110,True,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_110_via_same_candidate_safe_accept|local_consistency_pass
112,48,48,148,2873,2879,right,right,0.8442518870923772,0.7964495865288183,122,56,0.6106071756541382,109,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
113,48,48,134,2909,2917,center,center,0.9427098551019482,0.9533444722566284,110,48,0.9533444722566284,110,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_110_via_same_candidate_safe_accept|local_consistency_pass
127,59,59,149,2910,2911,center,center,0.6672646222253606,0.8634831303403072,111,48,-1.0,0,False,False,False,-1.0,-1.0,rejected_overlap_conflict_new_id|local_consistency_pass
128,60,60,146,2937,3011,right,right,0.9902827691796606,0.9334783425714692,117,54,-1.0,0,False,False,False,-1.0,-1.0,accepted_reentry_prev_tracklet_117_via_same_candidate_safe_accept|local_consistency_pass
87,36,36,131,2994,3028,center,right,0.9607398869293174,0.9637874580116841,74,36,0.9637874580116841,74,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
123,56,56,151,3004,3023,right,right,0.9230899187362056,0.9203636915310303,122,56,0.9203636915310303,122,True,False,False,-1.0,-1.0,rejected_overlap_conflict_new_id|local_consistency_pass
88,36,36,131,3033,3035,center,center,0.9406267459531468,0.9403823680625969,81,36,0.9403823680625969,81,False,False,False,-1.0,-1.0,rejected_cross_person_ambiguous_new_id|local_consistency_pass
