subset_frame_idx,original_frame_idx,window_id,video_path,image_path,notes
36,186,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000186.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
37,187,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000187.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
38,188,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000188.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
39,189,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000189.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
40,190,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000190.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
41,191,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000191.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
42,192,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000192.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
43,193,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000193.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
44,194,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000194.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
45,195,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000195.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
46,196,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000196.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
47,197,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000197.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
48,198,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000198.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
49,199,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000199.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
50,200,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000200.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
51,201,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000201.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
52,202,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000202.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
53,203,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000203.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
54,204,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000204.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
55,205,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000205.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
56,206,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000206.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
57,207,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000207.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
58,208,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000208.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
59,209,1,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000209.jpg,window_based_dense_subset;early_crowding_and_crossing_candidate
60,360,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000360.jpg,window_based_dense_subset;mid_early_reentry_candidate
61,361,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000361.jpg,window_based_dense_subset;mid_early_reentry_candidate
62,362,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000362.jpg,window_based_dense_subset;mid_early_reentry_candidate
63,363,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000363.jpg,window_based_dense_subset;mid_early_reentry_candidate
64,364,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000364.jpg,window_based_dense_subset;mid_early_reentry_candidate
65,365,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000365.jpg,window_based_dense_subset;mid_early_reentry_candidate
66,366,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000366.jpg,window_based_dense_subset;mid_early_reentry_candidate
67,367,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000367.jpg,window_based_dense_subset;mid_early_reentry_candidate
68,368,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000368.jpg,window_based_dense_subset;mid_early_reentry_candidate
69,369,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000369.jpg,window_based_dense_subset;mid_early_reentry_candidate
70,370,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000370.jpg,window_based_dense_subset;mid_early_reentry_candidate
71,371,2,/Users/ohqishean/AIC-REID/data/raw/retail-shop/CAM1.mp4,/Users/ohqishean/AIC-REID/experiments/dense_mot_cam1/frames/cam1_f000371.jpg,window_based_dense_subset;mid_early_reentry_candidate
